Substrate,id,num,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna,pos|lfc,Score
TRIM15,KCTD3,4,0.23682,0.37968,0.993429,28,1,-0.61731,0.625581623
TRIM15,KLHL36,4,0.24549,0.3881,0.993429,29,1,0.07391,0.609966194
TRIM15,LZTR1,4,0.24718,0.38986,0.993429,30,2,0.127,0.606986672
TRIM15,LGALS3BP,4,0.25164,0.39396,0.993429,31,2,0.18847,0.599220323
TRIM15,KLHL25,4,0.25409,0.39643,0.993429,32,1,-0.46993,0.595012427
TRIM15,NACC1,4,0.2651,0.40774,0.993429,33,2,0.20602,0.576590272
TRIM15,KLHL20,4,0.27107,0.41375,0.993429,34,2,0.16878,0.566918544
TRIM15,BTBD3,4,0.27415,0.41645,0.993429,35,2,-0.028329,0.56201175
TRIM15,TNFAIP1,4,0.2787,0.4216,0.993429,36,2,0.18684,0.554863031
TRIM15,KLHL17,4,0.27945,0.42226,0.993429,37,2,0.20657,0.553695886
TRIM15,SPOP,4,0.29703,0.44027,0.993429,38,2,0.28819,0.527199685
TRIM15,KLHL22,4,0.30415,0.44796,0.993429,39,1,-0.0068404,0.516912179
TRIM15,BTBD7,4,0.32821,0.47221,0.993429,40,1,-0.17942,0.483848191
TRIM15,KCTD7,4,0.3483,0.49266,0.993429,41,2,0.18943,0.458046526
TRIM15,ABTB1,4,0.36244,0.50688,0.993429,42,2,0.17371,0.440763878
TRIM15,ANKFY1,4,0.37446,0.51903,0.993429,43,1,-0.6087,0.426594567
TRIM15,KCTD14,4,0.37661,0.52103,0.993429,44,2,0.21563,0.424108152
TRIM15,SPOPL,4,0.38192,0.52648,0.993429,45,1,-0.37835,0.418027598
TRIM15,KCTD6,4,0.39666,0.5413,0.993429,46,1,-0.32527,0.401581592
TRIM15,BTBD9,4,0.40978,0.55454,0.993429,47,2,0.080657,0.387449242
TRIM15,KLHL41,4,0.41113,0.55586,0.993429,48,1,-0.11576,0.386020832
TRIM15,KCTD20,4,0.41926,0.56426,0.993429,49,2,0.16121,0.37751657
